"The boundary, system, series and order are:",Lithostratigraphic unit,Biological taxonomic unit,Time unit,Chronostratigraphic unit,A
What class does quartz belong to in Mohs hardness tester:,5,6,7,Null,C
Which of the following rocks belongs to dynamic metamorphic rocks:,Schist,Gneiss,Mylonite,Marble,C
Which of the following is a monoelemental mineral:,Quartz,Plagioclase,Biotite,Diamond,D
Fine-grained dikes belong to:,plutonic rocks,shallow rocks,sedimentary rocks,subvolcanic rocks,B
The unique mineral group formed by metamorphism is:,"Olivine, pyroxene, hornblende, biotite","Andalusite, hornblende, kaolinite, magnetite","Sericite, andalusite, wollastonite, garnet","Pyroxene, kyanite, graphite, garnet",C
Streamline structure generally occurs in which of the following rock types:,Basalt,Andesite,Rhyolite,Trachyte,C
Basalt belongs to:,Ultrabasic rock,Basic rock,Acid rock,Neutral rock,B
The shape of the earth is:,Spherical,Ideal rotating ellipsoid,Apple shape,An approximately pear-shaped ellipsoid of revolution,D
The following units that do not belong to the continental surface form are:,Island arc,Hills,Rift Valley,Basin,A
"In the following places, the greatest gravity of the earth is:",Equator,Antarctica,Tropic of Cancer,Beijing,B
"Among the following areas, the area with the highest heat flow value is:",Continental area,Pacific,Atlantic,The Indian Ocean,B
What is closely related to human activities and geological processes in the atmosphere is:,Troposphere,Stratosphere,Middle layer,The warm layer,A
"Among the following areas, the area with the smallest earthquake probability is:",Japan,Taiwan,Alaska,Guangzhou,D
"Among the following silicate minerals, the most easily weathered is:",Quartz,Biotite,Olivine,Hornblende,C
The following phenomena that do not belong to groundwater sedimentation are:,Dropping stones in karst caves,Petrified wood,Sinter,Bottom-showing structure,D
The following are not minerals:,Ice,Quartz,Coal,Natural gold,C
Granite belongs to:,Acid plutonic intrusive rocks,Neutral epithermal intrusive rocks,Basic plutonic intrusive rocks,Basic epithermal intrusive rocks,A
"A clastic rock containing 8% medium gravel, 10% fine gravel, 17% coarse sand, 16% medium sand, 18% fine sand, 14% coarse silty sand and 17% fine silty sand should be named:",Silty sandstone containing gravel,Gravel sandstone containing silt,Gravel siltstone,Silty conglomerate,A
"Among the wave zones in the barrier-free coastal zone, the highest energy is:",Rising wave zone,Wave-breaking zone,Broken wave zone,Surfing belt,B
The sand flat in the tidal flat subfacies of the barrier coast belongs to:,High tide flat,Mesotidal flat,Low tide flat,Chaoshangping,C
Yanshan tectonic stage belongs to:,Cenozoic,Mesozoic,Paleozoic,Proterozoic,B
The most important standard fossil of Cambrian is:,graptolite,Coral,Semi-freshwater fish,Trilobites,D
"According to the distribution of temperature below the continental surface and the source of geothermal energy, the interior of the earth can be divided into the following temperature layers:",High thermal layer,Outer thermosphere,Normal temperature layer,Inner thermal layer,B
The continental crust is composed of:,Silicon-aluminum layer; B Silicon magnesium layer,Magnesium iron layer,Ferrosilicon layer,Null,A
"Among the following actions, mechanical weathering of rocks is:",Temperature change,Ice splitting,Release weight of rock,Root cleavage,A
The movement mode of seawater is mainly as follows:,Sea waves,Tide,Ocean currents,Turbidity current,A
The common grains in carbonate rock structure are:,Internal grains,Biodetritus,Oolitic,Granules,A
A typical modern barrier-free coastal sedimentary environment can be divided into:,Lagoon,Coastal dunes,Back shore,Foreshore,B
Mesozoic includes:,Permian,Triassic,Jurassic,Cretaceous,B
Most coal was found in the following strata:,Carboniferous,Jurassic,Permian,Triassic,A
The occurrence factors of rock strata include:,Strike,Thickness,Tendency,Inclination,A
Geometric elements of faults include:,Fault plane,Break the disk,Displacement,Inclination,A
The first-order structural units in petroliferous basins are:,Anticline zone,Rise,Depression,The ramp,B
The formation conditions of gravity flow include:,A certain depth,Provenance conditions,Trigger mechanism,Stagnant water environment,B
"In which period did human, true images and real horses appear:",J,K,T,Q,A
The skarn type deposit was formed by which of the following metamorphism:,Contact metasomatic metamorphism,Regional metamorphism,Burial metamorphism,Dynamic metamorphism,C
Which of the following fold structures must have undergone stratigraphic inversion:,Tilting fold,Vertical fold,Inclined fold,Rolling fold,A
"In a nappe structure, if the younger rock block is exposed in the older rock block due to strong erosion,the structure is called:",Klippe,Structural window,Overthrust fault,Thrust fault,A
Sheet structure is a common structure in regional metamorphic rocks. Which of the following is metamorphic structure:,Plate structure,Thousand-piece structure,Sheet structure,Gneiss structure,C
"According to isotopic dating, the longest geological period is:",Proterozoic,Paleozoic,Mesozoic,Cenozoic,C
"If trilobites are found in the strata, then the stratigraphic age is:",Early Ordovician,Tertiary,Cretaceous,Early Cambrian,D
Which part of the earth belongs between Gutenberg surface and Moho surface:,Upper Crust,Lower Crust,Mantle,Core,B
"Mesozoic gymnosperms have been unprecedented development, which of the following plant fossils do not belong to gymnosperms:",Big feather fern,Cycad,Pine and cypress,Ginkgo biloba,C
"The boundary, system, series and order are:",Lithostratigraphic unit,Biological taxonomic unit,Time unit,Chronostratigraphic unit,C
What class does quartz belong to in Mohs hardness tester:,5,6,7,Null,B
The shape of the earth is:,Spherical,Ideal rotating ellipsoid,Apple shape,An approximately pear-shaped ellipsoid of revolution,D
The following units that do not belong to the continental surface form are:,Island arc,The hills,Rift Valley,Basin,A
"In the following places, the greatest gravity of the earth is:",Equator,Antarctica,Tropic of Cancer,Beijing,B
"Among the following areas, the area with the highest heat flow value is:",Continental area,Pacific,Atlantic,The Indian Ocean,B
What is closely related to human activities and geological processes in the atmosphere is:,Troposphere,Stratosphere,Middle layer,The warm layer,A
"Among the following areas, the area with the smallest earthquake probability is:",Japan,Taiwan,Alaska,Guangzhou,D
"Among the following silicate minerals, the most easily weathered is:",Quartz,Biotite,Olivine,Hornblende,C
Earthquakes distributed in the mid-ocean ridge are characterized by:,Shallow source and large magnitude,The source is deep and the magnitude is large,The source is shallow and the magnitude is small,The source is deep and the magnitude is small,C
The following phenomena that do not belong to groundwater sedimentation are:,Dropping stones in karst caves,Petrified wood,Sinter,Bottom-showing structure,D
The following are not minerals:,Ice,Quartz,Coal,Natural gold,C
"Among the following minerals, the hardness is greater than that of quartz:",Topaz,Fluorite,Orthoclase,Calcite,A
Granite belongs to:,Acid plutonic intrusive rocks,Neutral epithermal intrusive rocks,Basic plutonic intrusive rocks,Basic epithermal intrusive rocks,A
"A clastic rock containing 8% medium gravel, 10% fine gravel, 17% coarse sand, 16% medium sand, 18% fine sand, 14% coarse silty sand and 17% fine silty sand should be named:",Silty sandstone containing gravel,Gravel sandstone containing silt,Gravel siltstone,Silty conglomerate,A
"Among the wave zones in the barrier-free coastal zone, the highest energy is:",Rising wave zone,Wave-breaking zone,Broken wave zone,Surfing belt,B
The sand flat in the tidal flat subfacies of the barrier coast belongs to:,High tide flat,Mesotidal flat,Low tide flat,Chaoshangping,C
Yanshan tectonic stage belongs to:,Cenozoic,Mesozoic,Paleozoic,Proterozoic,B
The most important standard fossil of Cambrian is:,Graptolite,Coral,Semi-freshwater fish,Trilobites,D
"According to the distribution of temperature below the continental surface and the source of geothermal energy, the interior of the earth can be divided into the following temperature layers:",High thermal layer,Outer thermosphere,Normal temperature layer,Inner thermal layer,B
The continental crust is composed of:,Silicon-aluminum layer;,silicon magnesium layer,Magnesium iron layer,Ferrosilicon layer,A
"Among the following actions, mechanical weathering of rocks is:",Temperature change,Ice splitting,Release weight of rock,Root cleavage,A
"When the river flows, the energy is related to:",The riverbed width,River flow,Velocity of river water,Height difference of riverbed topography,B
The movement mode of seawater is mainly as follows:,Sea waves,Tide,Ocean currents,Turbidity current,A
The common grains in carbonate rock structure are:,Internal grains,Biodetritus,Oolitic,Granules,A
A typical modern barrier-free coastal sedimentary environment can be divided into:,Lagoon,Coastal dunes,Back shore,Foreshore,B
Mesozoic includes:,Permian,Triassic,Jurassic,Cretaceous,B
Most coal was found in the following strata:,Carboniferous,Jurassic,Permian,Triassic,A
The occurrence factors of rock strata include:,Strike,Thickness,Tendency,Inclination,A
Geometric elements of faults include:,Fault plane,Break the disk,Displacement,Inclination,A
The first-order structural units in petroliferous basins are:,Anticline zone,Rise,Depression,The ramp,B
The formation conditions of gravity flow include:,A certain depth,Provenance conditions,Trigger mechanism,Stagnant water environment,B
The shape of the earth is:,Spherical,Ideal rotating ellipsoid,Apple shape,An approximately pear-shaped ellipsoid of revolution,D
The following units that do not belong to the terrestrial surface form are:,Island arc,The hills,Split,Basin,A
Closely related to activities and geological activities in the circle is:,Troposphere,Stratosphere,Middle layer,The warm layer,A
"According to the change of temperature and density, the circle can be divided into:",Troposphere,Stratosphere,Middle layer,Warm layer,A
The terrestrial crust is composed of:,Silicon-aluminum layer,Silicon magnesium layer,Mg-Fe layer,Ferrosilicon layer,A
"Among the following silicate minerals, the most easily weathered is:",British,Cucumite,Olives,Flash,C
The main energy sources for external geological work are:,Radioactive energy,Solar energy,Earth leads energy,Kodeolly,B
"Among the following rocks, the most easily weathered is:",peridotite; B granite,British sandstone,Coriolis force,Null,A
"Among the energy sources of geological work, the energy inside the earth includes:",Solar radiation energy,Rotational energy,Heavy energy,Crystallization energy and chemical energy,B
"Among the following actions, those belonging to rock mechanical weathering are:",Temperature change,Ice splitting,Release weight of rock,Root cleavage,A
The main factors affecting weathering are:,Geological camp,Rock structure and structure,Mineral composition of the rock;,Natural geographical conditions ,B
The type of ice transport by glaciers is:,Suspension,Jumping,Pushing,Carrying,C
Diagenesis mainly includes:,Compaction,Cementation,Recrystallization,Colloidal deposition,A
The following are not minerals:,Ice,Quartz,Coal,Native gold,C
The water that does not participate in crystal composition and has nothing to do with mineral crystals is:,Zeolite water,Combined water,Interlayer water,Adsorbed water,D
"Among the following minerals, the hardness is greater than that of Quartz:",Topaz,Fluorite,Orthoclase,Calcite,A
Vammica and Miscellaneous mica belong to:,Complete cleavage,Incomplete cleavage,Extremely complete cleavage,Moderate cleavage,C
Olivine belongs to:,Cyclic silicate,Silicate with island structure,Silicate with frame structure,Chain structure silicate,B
Granite belongs to:,Acidic deep intrusive lumbite,Neutral shallow intrusive intrusive rocks,Basic plutonic intrusive rocks,Basic shallow intrusive intrusive rock,A
"If Fe3＋: Fe2＋ is more than 3, the bottom color of sedimentary rock is:",Brown,Hyper colour,Light green gray,Red or brownish red,D
"A clastic rock containing 8% medium gravel, 10% fine gravel, 17% coarse sand, 16% medium sand, 18% fine sand, 14% coarse silty sand and 17% fine silty sand should be named:",silty sandstone containing gravel,Gravel sandstone containing silt,Gravel siltstone,Silty conglomerate,A
Leafy limestone is:,Object shelf structure,Granular structure,Grain structure,Muddy structure,B
The common grains in carbonate rock structure are:,Internal grains,Detritus,Oolitic,Granules,A
What kind of rocks can diamonds be produced in:,Peridotite,Kimberlite,Gabbro,Andesite,B
Caledonian movement occurs in:,Early Paleozoic,Late Paleozoic,Cenozoic,Mesozoic,A
"In the following mineral assemblages, the four minerals are all silicates:","quartz, olivine, gypsum, potash feldspar","fluorite, talc, muscovite, plagioclase","potash feldspar, talc, andalusite, garnet","pyroxene, calcite, hornblende, pyrite",C
Which of the following fold structures must have undergone stratigraphic inversion:,Inclined fold,Vertical fold,Inclined fold,Recumbent fold,D
"In a nappe structure, if the older rock block is exposed above the younger rock block due to strong erosion, the structure is called:",Klippe,Structural window,Overthrust fault,Thrust fault,A
Sheet structure is a common structure in regional metamorphic rocks. Which of the following is the most metamorphic structure:,Plate structure,thousand-piece structure,sheet structure,gneiss weak,A
Streamline structure generally occurs in which of the following rock types:,Basalt,Andesite,Rhyolite,Trachyte,C
"If trilobites are found in the strata, then the stratigraphic age is:",Early Ordovician,Tertiary,Cretaceous,Early Cambrian,D
Which of the following minerals is clay mineral:,Kaolinite,Calcite,Garnet,Pyrite,A
At which time did the total extinction of dinosaurs occur:,Ordovician,Tertiary,Cretaceous,Cambrian,C
The part above Moho is called:,Upper crust,Lower crust,Core,Mantle,B
The era when human beings appeared was:,Tertiary,Quaternary,Sinian,Permian,B
The unique mineral group formed by metamorphism is:,"sericite, andalusite, wollastonite, garnet","andalusite, hornblende, kaolinite, magnetite","olivine, pyroxene, hornblende, biotite","pyroxene, kyanite, graphite, garnet",A
What grade does diamond belong to in Mohs hardness tester:,5,7,8,Null,D
Which of the following rocks does not belong to dynamic metamorphic rocks:,Schist rock,Fault breccia,Mylonite,Cataclastic,A
Peridotite belongs to:,Ultrabasic rock,Basic rock,Neutral rock,Acid rock,A
"The boundary, system, series and order are:",Lithostratigraphic unit,Biological taxonomic unit,Time unit,Chronostratigraphic unit Lamprophyre veins belong to Lithostratigraphic unit,B
"According to isotopic dating, the longest geological period is:",Proterozoic,Mesozoic,Paleozoic,Cenozoic,A
Streamline structure generally occurs in which of the following rock types:,basalt,andesite,rhyolite,trachyte,C
At which time did the total extinction of dinosaurs occur:,Ordovician,Tertiary,Cretaceous,Cambrian,C
What kind of rocks can diamonds be produced in:,Peridotite,Kimberlite,Gabbro,Andesite,B
Caledonian movement occurs in:,Early Paleozoic,Late Paleozoic,Mesozoic,Cenozoic,A
"In the following mineral assemblages, the four minerals are all silicates:","quartz, olivine, gypsum, potash feldspar","fluorite, talc, muscovite, plagioclase","potash feldspar, talc, andalusite, garnet","pyroxene, calcite, hornblende, pyrite",C
Which of the following fold structures must have undergone stratigraphic inversion:,Inclined fold,Vertical fold,Inclined fold,Recumbent fold,D
"In a nappe structure, if the older rock block is exposed above the younger rock block due to strong erosion, the structure is called:",Klippe,Structural window,Overthrust fault,Thrust fault,A
Sheet structure is a common structure in regional metamorphic rocks. Which of the following is metamorphic structure:,Plate structure,Thousand-piece structure,Sheet structure,Gneiss structure is the weakest,A
Skarn type deposit is which of the following type of deposit:,Endogenetic deposit,Metamorphic deposit,Contact metasomatic deposit,Eluvial deposit 5 beds,C
"If trilobites are found in the strata, then the stratigraphic age is:",Early Ordovician,Tertiary,Cretaceous,Early Cambrian,D
Which of the following minerals is clay mineral:,Kaolinite,Calcite,Garnet,Pyrite,A
Which sedimentary formation reflects the transformation from marine facies to continental facies:,Flysch deposition,Turbidity current deposition,Molasite deposition,Pyroclastic deposition,C
The part above Moho is called:,Upper crust,Lower crust,Mantle,Core,B
The era when human beings appeared was:,Tertiary,Quaternary,Sinian,Permian,B
The unique mineral group formed by metamorphism is:,"Sericite, andalusite, wollastonite, garnet","andalusite, hornblende, kaolinite, magnetite","olivine, pyroxene, hornblende, biotite","pyroxene, kyanite, graphite, garnet",A
What grade does diamond belong to in Mohs hardness tester:,5,7,8,Null,D
Which of the following rocks does not belong to dynamic metamorphic rocks:,schist rock,fault breccia,mylonite,cataclastic,A
Peridotite belongs to:,Ultrabasic rock,Basic rock,Neutral rock,Acid rock,A
"The boundary, system, series and order are:",Lithostratigraphic unit,Biological taxonomic unit,Time unit,Chronostratigraphic unit Lamprophyre veins belong to Lithostratigraphic unit,B
"According to isotopic dating, the longest geological period is:",Proterozoic,Mesozoic,Paleozoic,Cenozoic,A
Streamline structure generally occurs in which of the following rock types:,Basalt,Andesite,Rhyolite,Trachyte,C
At which time did the total extinction of dinosaurs occur:,Ordovician,Tertiary,Cretaceous,Cambrian,C
