"Under surface soil, where all the open spaces have become filled with water, lies the zone of",sedimentation,saturation,equalization,salination,diffusion,B
Pesticide and fertilizer use on crops affects water purity when,evaporation is increased by heat,it is used sparingly,there is too little rainfall,it is used in proper amounts,runoff joins with surface and/or groundwater,E
The depletion of water from aquifers faster than they can naturally be refilled is called,aquifer saturation,groundwater mining,flooding,runoff,the water table,B
"The amount of withdrawn water lost in transport, evaporation, absorption, chemical change, or is otherwise unavailable as a result of human use is known as",withdrawal,conservation,consumption,discharge,runoff,C
"When water is blocked by a low-permeability material below the aquifer, it is known as",an unconfined aquifer,a perched water table,a watershed,a zone of aeration,a diverted stream,B
"Lithification, comes from the Greek word lithos, meaning",stone,light,paper,seawater,white,A
Diagenesis causes,a red rash on the elbow,miscalculations of circular core samples,photosynthesis in most upper ocean layers,lithification of sediment by physical and chemical processes,drought in some areas,D
Which of the following is a common metamorphic rock type?,Subjugate rock,Slate,Vermiculite,Slant,Magma,B
Metamorphic rock is known as a,hard purple-colored rock,surface-only rock,chameleon of rock types,good building material,brittle rock type,C
"When several rock-stratigraphic units are stacked vertically, they are called a",metamorphic shelf,gneiss,lithification,vertical unit,formation,E
"When rock on the Earth's surface is worn away, it is called",foliation,metamorphism,exfoliation,sedimentation,coloration,C
Clastic sedimentary rocks are made up of,pieces of other rocks,gelatin from kelp,the hardest granites,boulders larger than 1 meter across,petroleum distillates,A
Which of the following plays a big part in soil erosion?,Fertilizer,Conservation,Tillage,Plant type,Rainfall,C
Which process wears away existing rocks and produces lots of small rock?,Lithification,Sedimentation,Compaction,Weathering,Concretion,D
The following are all tools in soil conservation except for,cover crops,deforestation,planting of perennial plants,adding mulch,crop rotation,B
Which metamorphic rock is often used as a paving and building stone?,Mica,Marble,Shale,Sandstone,Obsidian,B
Felsic and mafic are two types of,metamorphic rock,clastic formations,sedimentary rock,igneous rock,multicolored clays,D
What percentage of the world's land is at risk of desertification?,10%,20%,30%,40%,50%,C
Pebbles surrounded by a covering of sand or mud is known as,a conglomerate,shale,granite,magma,igneous clay,A
The description of an area's land contours and surface features is called,geography,cartography,graphology,topography,photography,D
"Pedocal, pedalfer, and laterite are three basic soil types based primarily on",elevation,soil type,water content,mineral base,climate,C
"Which soil horizon consists of a zone of accumulation, where ions transported by rainwater are reconnected to create new minerals?",Horizon A,Horizon B,Horizon C,Ions are not transported this way,Mineralization occurs only in the topsoil,B
"A complex community of plants, animals, and microorganisms linked by interacting energy and nutrient flows is called a(n)",atmosphere,ecosystem,niche,suburb,species,B
The world's oceans make up what percent of the planet's biosphere?,27%,44%,62%,75%,99%,E
Which diverse ecosystem absorbs high flow and releases water slowly?,High plains,Wetlands,Arctic,Rocky Mountains,Old-growth forest,B
"Madagascar and the Indian Ocean islands, the Philippines, Sundaland, the Atlantic Forest, and the Caribbean are all considered",hotspots,expensive vacation spots,sustainable use areas,arid regions,mountainous,A
"Aircraft, high-altitude balloons, and satellites are all used in",birthday parties,field testing,remote sensing,acrobatic air shows,high school science labs,C
The vertical range that contains the biosphere is roughly,"1,000 meters high","5,000 meters high","10,000 meters high","20,000 meters high","40,000 meters high",D
"When a species like the dodo bird becomes extinct, it is said to be",in remission,hibernating for the winter,not important to the ecosystem,gone for 10 years and then returns,gone forever,E
"The total area in which a plant, animal, insect, or other organism travels in its lifetime determines its",life span,range,personality type,itinerary,habitat,B
"In which layer do all the pressure, wind, and precipitation changes occur?",Outer space,Stratosphere,Troposphere,Ionosphere,Mesosphere,C
Tornadoes of the F4/F5 category account for what percent of deaths?,80%,65%,40%,25%,10%,B
"ASTER information is used to draw detailed maps of land surface temperature, elevation, and",salt flats,mountain algae populations,reflectance,honeybee populations,shipping lanes,C
Adjacent habitats have overlapping boundaries called,wetlands,topography,ecological succession,ecotones,secondary succession,D
"Over time, a previously untouched area like a volcanic flow will be populated by different species creating soil, cover, shade, and food resulting in a(n)",primary succession of development,secondary succession of development,tertiary succession of development,overcrowded ecosystem,ecotone,A
A hotspot is an ecological region that has high biodiversity and lost,10% of its original habitat,20% of its original habitat,45% of its original habitat,60% of its original habitat,over 70% of its original habitat,E
The most important factor currently affecting many species is,loss of habitat,predation,food supply,climate,disease,A
The use of resources in a manner that protects a species or environment without causing long-term loss is known as,evolutionary use,clear cutting,sustainable use,extinction,speciation,C
"When no two species can fill the same niche at the same time and the weaker species must fill a smaller niche, relocate, or die, it is known as",survival of the fittest,Gause's principle,the conservation of species,a keystone species,climax succession,B
"When a species' numbers drop continuously because of habitat destruction, the species is said to be",extinct,poor predators,protected,not evolutionarily hearty,endangered,E
Mutualism is a type of symbiosis where,neither species benefits,both species benefit,one species benefits and one is unaffected,one species is harmed and one benefits,both species are harmed,B
"When a species has no competitive limitations, it has a",realized niche,developed niche,fundamental niche,successive niche,population overshoot,C
"When an ecosystem reaches its final stage of balanced species development, it is called a(n)",climax community,population,pioneer species,initial niche,extinct zone,A
"When calcium carbonate is used to build the shells of sea creatures, it is called",lime,condensation,sublimation,biomineralization,transfiguration,D
"By dry weight, approximately what percent of carbon are humans composed of?",20%,50%,65%,70%,90%,B
Scientists have studied the carbon cycle in all the following geochemical reservoirs except,the oceans,soil,fossil fuels,the Earth's core,plant life,D
Carbon-containing material from living or nonliving sources is called,pyroclastic material,inorganic material,organic material,sublimation,biomineralization,C
"When freshwater has high concentrations of calcium and/or magnesium, it is commonly called",calciferous,hard water,soft water,mineralization,lime,B
ENSO takes place at intervals of 2 to 7 years and lasts approximately,6 months,1 to 2 years,3 years,2 to 5 years,7 years,B
The residence time of oxygen in the atmosphere is,12 weeks,300 years,"1,000 years","6,000 years",1 million years,D
"When plants pull water from the soil, use the dissolved minerals to grow, and release the water back through the leaves, it is known as",evapotranspiration,respiration,condensation,transport,condensation,A
Plants are known as primary producers of,methane,biomineralization,biomass,water pollution,limestone,C
"The idea that matter is neither created, nor destroyed, but recycled through natural cycles is known as",conservation of matter,origin of species,residence time,transconfiguration,respiration,A
All the following are natural water reservoirs except,aquifers,living organisms,streams,limestone,the atmosphere,D
A plant's reaction that captures visible light wavelengths (0.4 to 0.7 µm) and transforms them into chemical energy is known as,sublimation,biomineralization,biomass,evapotranspiration,photosynthesis,E
"Organisms that consume litter, debris, and dung are called",carnivores,herbivores,detritivores,parasites,omnivores,C
"When ammonia is taken up by plants, dissolved by water, or remains in the soil to be converted to nitrates, it is known as",calcification,residence time,photosynthesis,nitrification,neutralization,D
The location where planetary water is stored for a length of time is called,sink hole,geological cycle,lake,karst,water reservoir,E
Inorganic sulfur is found primarily in rock and minerals as iron pyrite and,gneiss,iron oxide,gypsum,limestone,granite,C
All things that take up space and have mass are known as,sedimentary rock,heavy metals,matter,carnivores,core materials,C
"When the temperature of the air or land changes,",condensation of water vapor occurs,populations migrate,leaves change color,snow falls,transpiration is increased,A
"When plants absorb carbon dioxide and sunlight to make glucose and build cellular structures, it is known as the",calcium cycle,sulfur cycle,hydrogen cycle,phosphorus cycle,biological carbon cycle,E
"Matter exists in three forms: solid, liquid, and",metallic,ice,nuclear,gas,pyrotechnic,D
Change in gene frequency is known as,mitosis,genetic drift,hybridization,genetic optimization,founder effect,B
Which term is used to describe the longest time interval a certain species is estimated to live?,Mortality,Nutrition,Decades,Life span,Fertility,D
"Fecundity is the actual capability to reproduce, while number of offspring produced is a measure of",ecological succession,natality,survivorship,fertility,niche development,D
The rule of 70 is used to estimate,entrepreneurial species,population doubling,density-dependent species,infant development,potential of a new Starbucks in a neighborhood,B
Movement out of a population is known as,delinquency,mortality,emigration,suburban sprawl,immigration,C
The number of years an individual is statistically likely to live is called his or her,species duration,natality,life expectancy,mortality,genetic drift,C
"Isolation, genetic drift, and founder effect help biologists figure out",species adaptability,succession level,mutualism,maximum viable population size,minimum viable population size,E
Preindustrial populations usually have slow growth rates and,low economic potential,↑ birth and ↑ death rates,low geographic resources,↓ birth and ↑ death rates,↓ birth and ↓ death rates,B
Biotic and abiotic factors greatly affect,population density,niche development,fecundity,education levels,genetic drift,A
"Despite humanitarian concerns, human population control",has never worked,reaped substantial benefits in China,is impossible in developed nations,is not needed with a slowing global population,is not possible with today's technology,B
A group of individuals of the same species in the same geographical area is known as a,herd,niche,population,system,flock,C
Exponential human population growth is affected by all the following factors except,infectious disease,clean water supplies,hazardous work conditions,increased television time,better and more available food,D
"The germination, cloning, birth, or hatching of individuals in a population is known as",life span,niche,mortality,genetic drift,natality,E
"When a population's growth rate changes to match local conditions, it is known as",exponential growth,density-independent growth,natality,logistic growth,pioneer growth,D
"Salt wedging, caused by the growth of salt crystals, is an important rock-breaking force in the",rain forest,mountains,ocean,plains,desert,E
Zebra mussels are,the largest of the mussels,actually more spotted than striped,an introduced alien species in the Great Lakes,related to zebra clams,a native species,C
Growing marine or aquatic species in net pens or tanks is known as,cross cultivation,a risk-free industry,bioculture,an easy source of iodine,aquaculture,E
Species transported from tropical regions of the Atlantic to the Pacific,have no impact on the new environment,have greater impact on the new environment,have limited impact on the new environment,are seldom transported to another environment,don't survive in a new environment,B
"When DNA is combined in ways to augment certain characteristics in a species' natural growth, the result is known as a",nonnative species,relict species,transplanted organism,genetically modified organism,nonviable organism,D
"When nontarget fish species or other marine animals are caught in nets or through other fishing methods, they are called",surplus species,bycatch,alternate species,trash fish,game fish,B
The huge increase in yields obtained through modern cultivation techniques has become known as the,GMOs,cross-pollination methods,aquaculture dilemma,genetic revolution,green revolution,E
"Small land plots that are planted early, heavily sprayed with pesticides, and their crop later des-troyed are known as",hectares,sustainable agriculture,trap plots,testers,polluted plots,C
Which of the following has caused the greatest increase in the introduction of marine alien species into new ecosystems?,Tourism,Air travel,Shipping,Commercial fishing,Home aquariums,C
"Fishing methods like bottom trawling, gill netting, and longlining are especially subject to",crew safety policy,seasonal variation,high fuel costs,poor yields,bycatch,E
The Food Quality Protection Act caused the Environmental Protection Agency to,assess inert ingredients for the first time,raise levels for pesticides,determine whether carcinogens existed in food,protect the elderly from DDT,send hybrid rice to third-world countries,A
Agroecology is another word for,tillage,sustainable agriculture,degenerative farming,strip mining,historical agriculture,B
"Something that lowers the quantity, quality, or value of resources is known as a",growth factor,decimator,biocide,agricultural sink,biological pest,E
"When species are transported geographically to an unknown area, they are called",native species,game fish,exotics,nonnative species,functional species,D
"Three agencies are responsible for regulating pesticides used in food: the Environmental Protection Agency, the Food and Drug Administration, and the",Centers for Disease Control,Department of Health and Human Services,Department of Agriculture,National Institutes of Health,Department of Homeland Defense,C
"Rodenticides kill rats and mice, while ticks and spider mites are killed by",aracnicides,mitocides,fungicides,acaricides,herbicides,D
It has been estimated that over 60% of all processed food in America contains,GMO ingredients,fatty acids,carcinogens,DDT,phosphorus,A
"Hormones that stop larval growth, combined with mechanical vacuuming of bugs from plants, are examples of",crop rotation,low input agriculture,integrated pest management,cross discipline activation,plant desertification,C
One method to conserve water and make sure it gets directly to plant roots is through,sieve sleeve irrigation,drip irrigation,rolling sprinklers,flood irrigation,crop circle sprinklers,B
Organic farms have lower feed and veterinarian costs since their animals are,smaller in size,crowded into barns,healthier,raised in larger herds,fed GMO ingredients,C
Deserts cover roughly what percentage of the Earth's land surface?,10%,20%,30%,40%,50%,C
"When formerly fertile land is degraded, there is",loss of biodiversity,an increase in water,a gain in economic yield,species diversification,a drop in fungal growth,A
"Deforestation, overgrazing, and bad irrigation practices all contribute to",juvenile delinquency,glacier formation,desertification,wetlands formation,sedimentation,C
"In size, the Great Basin Desert of the United States is only about one-third the size of the (see the table below asdf)",Kalahari Desert,Gobi Desert,Chihuahuan,Sahara,Patagonia,B
Forests are mainly divided into temperate and,dry regions,wetland regions,arctic regions,tropical regions,desert regions,D
Old-growth coastal redwoods live to be as much as,300 years old,750 years old,"1,000 years old","1,500 years old","2,000 years old",E
Second- and third-growth forests contain,many more plant and animal species,trees of the same age and size,mainly conifers,larger trees than those in old-growth forests,only broad-leafed trees,B
The European white elm tree in western Siberia is known as a,new species,nonnative species,relict species,primary species,replanted species,C
Which is important for some biological species to reproduce and clear undergrowth for new sprouts?,Lime,Fire,Iron oxide,Ice,Wind,B
"A tropical rain forest, found near the equator, has",primarily conifers,few native species,increasing fungal growth,the richest diversity of terrestrial plants and animals,no new species to be observed by scientists,D
"In developing countries, the need for which major resource will double in the next 25 years?",Fuel wood and charcoal,Soybeans,Milk,Television,Latex,A
What percentage of all the forests on the Earth has been converted to cropland?,10%,20%,30%,40%,50%,E
"When plant cover is removed by clear-cutting, other local populations (mammals, birds, and insects)",increase,are not affected,are greatly affected,remain in the area,resist disease,C
"When topsoil is blown or washed away, what happens to the remaining land?",Its biochemical makeup is changed.,Its nutrients are maintained.,Its structure is unchanged.,It becomes a major conservation factor.,Its water content increases.,A
What extremely long-lived tree species is resistant to insects and fire?,Hickory,Spruce,Redwood,Aspen,Oak,C
Rotational grazing involves all the following ranching and herding activities except,confining herds to a small area,herds fertilizing heavily,herds trampling woody plants and weeds,long-term grazing of herds over a large area,herds eating everything in the area,D
Urbanization came about from,less mass transit,change in growing seasons,lack of high-rise properties,gradual changes in land use and societal culture,lower city taxes,D
Push and pull immigration factors include,overpopulation,the arts,lack of country resources,communications,all of the above,E
The amount of surface area needed to provide for a population's needs and dispose of its waste is called its,niche,tillage area,ecological footprint,growth index,urbanization,C
"When ore piles are sprayed with a weak cyanide solution to extract gold, it is known as",strip mining,deep shaft drilling,open-pit mining,placer mining,heap-leach extraction,E
All of the following affect a mineral's internal structure except,cleavage,boiling point,shape,hardness,optical axes,B
"Deposits formed from evaporation, wind deposit, sedimentation, or volcanic heating contain",minerals,water,lava,algae,radioactive tracers,A
Deserts are distinguished by all the following factors except,number of days of rainfall,wind,temperature,oases,lightning strikes,E
Remote sensing is an important tool in the study of dynamic desert features like,tree growth,camel populations,flash floods,dunes,locust species,D
The following factors can all increase desertification except,wind,total rainfall,forest management,temperature,location,C
A growing plant transpires up to ___ times as much water volume as it holds at one time.,2,10,18,22,25,B
The Surface Mining Control and Reclamation Act mandated,a 20% decrease in sulfur emissions,no new mining without smokestack filters,clear air,restoration of strip-mined land,recycling of aluminum,D
Megacities have over,1 million inhabitants,4 million inhabitants,5 million inhabitants,10 million inhabitants,20 million inhabitants,D
"A naturally found, inorganic solid with a specific crystalline structure and chemical composition is called a",rock,fossil,mineral,biome,carbon nanotube,C
What percent of urban sewage is treated in Latin America?,1%,2%,3%,5%,10%,B
"Bike routes, light-rail, zoning, and development regulations increase",cultural diversity,exercise options,taxes,corporate options,environmental sustainability,E
"Feeding, transporting, sheltering, providing water, and waste disposal are all problems of",small countries,rural living,urban sprawl,island nations,Arctic scientists,C
"Grassland, agriculture, and forests",provide visual appeal,use very little water,are all planted by humans,cover the world's land area,are always found in great amounts worldwide,D
"When ore is heated to extract minerals, it is known as",deep shaft mining,smelting,placer mining,a sustainable method of extraction,ablation,B
What percent of Mexico City's population lives in shantytowns built on undeveloped land from scavenged materials?,10%,25%,35%,50%,70%,D
An unforeseen result of suburban living is,less traffic,less exercise,closer community ties,lower taxes,greater vehicle wear and tear,B
"When water is used to wash away soil from gold nuggets in shallow pans or in long wooden troughs, it is called",strip mining,deep shaft drilling,open-pit mining,placer mining,heap-leach extraction,D
A communal resource management system includes all the following factors except,clear boundaries,active monitoring of resource use,people living on the land a long time,privatization and self-interest,people having input into rule setting,D
What percentage of U.S. energy comes from fossil fuels?,10%,18%,37%,62%,82%,E
Coal is often contaminated with what element?,Carbon,Silicon,Sulfur,Uranium,Sodium,C
The amount of energy needed to heat 1 gram of water to 1 degree Celsius is a,gigabyte,pound,liter,calorie,nanosecond,D
"Solids, liquids, and gases created through the compression of ancient organic plant and animal material in the Earth's crust are called",biomass,inorganics,sustainable fuels,nuclear fuels,fossil fuels,E
"Coal deposits that have been mapped, measured, and economically recoverable are known as",ultimate reserves,sustainable reserves,proven reserves,clean reserves,known reserves,C
The number of individuals born at or near the same time and living to a specific age is called,survivorship,natality,mortality,fecundity,immigration,A
The force needed to accelerate 1 kilogram by 1 meter per second is called a,ton,meter per second,joule,calorie,newton,E
"In the industrialized world, the burning of fossil fuels is probably the biggest single source of",air pollution,water pollution,urban blight,economic income of developed countries,international tensions between nations,A
"Twenty percent of the total U.S. energy demand is used for lighting, heating, air conditioning, water heating, and",cooking,plastics,transportation,international export,construction,A
"The first oil well in North America was drilled in Oil Springs, Ontario, in",1855,1875,1905,1935,1955,A
"Natural gas has much less waste since it needs little refining, is transported through underground pipelines, and burns with",boron as an additive,75-95% efficiency,atmospheric particulates,smaller smokestacks,the same efficiency as oil,B
Coal dust is very toxic to the lungs and causes,arthritis,cancer,premature births,black lung disease,bad breath,D
"Before fossil fuels became commonly used, what was popularly used for lamp oils and candles?",Lye,Bacon grease,Whale oil,Seal fat,Natural gas,C
A sedimentary rock containing solid organic matter is called,tephra,kerogen,granite,igneous rock,gneiss,B
"Prior to mine reclamation laws, mine drainage and acidic runoff from coal tailings were toxic by-products of",tillage,urban development,underground mining,strip mining,industrial processing,D
A hotly debated area with large oil reserves is,NAWR,USDA,western Europe,WARN,ANWR,E
"When coal is used to produce electricity, what fraction of the original energy is lost in thermal conversion at the plant?",,,,,,D
A big concern facing geologists in long-term radioactive waste storage is that,people living in the area will begin to glow in the dark,the half-life will take even longer,groundwater will seep into land sites and become contaminated,people will mistake it for fluorescent minerals,the public will not tolerate the necessary safety measures,C
A nuclear reactor contains a core with many fuel rods containing,steel pellets,uranium oxide pellets,iron pellets,palladium pellets,silicon pellets,B
Which country's government has strongly promoted increases in nuclear power use over the past 30 years?,Columbia,Madagascar,Holland,France,Spain,D
An instrument used to detect radioactive ions is called a(n),mass spectrometer,metal detector,ionization counter,gas chromatograph,high-performance liquid chromatograph,C
A strong regulatory backlash to nuclear power in the United States occurred in response to the,Three Mile Island accident,first U.S,"September 11, 2001, terrorist attacks",eruption of Mount St,use of nuclear power in submarines,A
About 75% of the original energy in oil is lost during distillation into,kerosene,gasoline,jet fuel,road tar,ethanol,B
"DDT, which kills malaria-carrying mosquitoes, had a large negative impact on",horses,local ladybugs,earthworms,nontarget predatory bird species,migrating robins,D
When was the last nuclear power plant built and opened in the United States?,1962,1977,1980,1996,2016,E
The time for a radioactive element or isotope to degrade is known as its,half-life,fission potential,transmutability point,radioactive potential,radioactive point,A
"The Yucca Mountain, NV, facility, originally scheduled to open in 2017, was intended for the",mining of uranium,Department of Energy's yearly retreat,storage of new power plant construction material,protection of local inhabitants in the event of nuclear attack,storage of spent uranium fuel,E
The biggest advantage of nuclear energy generation is that,it is free,it doesn't generate greenhouse gases,it takes very few people to operate a plant,it produces low-wattage power,many developing countries are rapidly increa-sing their nuclear portfolio,B
Decay of radioactive isotopes is affected by the,isotopes' boiling point,pressure,properties of the isotopes' storage container,stability of an element at a certain energy level,size of the original sample,D
"After Three Mile Island, much better plant and safety designs, along with the creation of which organization, occurred?",Department of Energy,Occupational Health and Safety Organization,Department of the Interior,Richard Smalley Nanotechnology Institute,Institute of Nuclear Power Operations,E
"Each year, roughly what amount of used fuel is created by every 1,000-megawatt nuclear electric power plant?",10 metric tons,25 metric tons,30 metric tons,50 metric tons,65 metric tons,C
French scientist Marie Curie coined what term in 1898?,Radioactivity,Isotope,Half-life,Geological time,Fission,A
"Besides alpha and beta particles separated in a magnetic field, what other short-wavelength particles can be detected?",Joules,Quarks,Gamma particles,Radioactive dust,Omega particles,C
Radioactive elements provide power sources for all but which of the following?,Pacemakers,Generators,Submarines,Satellites,Automobiles,E
What important action did the Nuclear Regulatory Commission take in 2000?,They decided to stop work on the Yucca Mountain waste storage site.,They issued the first-ever renewal of a nuclear power plant's operating license.,They offered green credits for nuclear energy.,They published a successful method of nuclear fusion.,They collaborated with France on better ways to store electric power.,B
Nuclear power is commonly generated using the element,copper,actinium,mercury,uranium,platinum,D
The Staebler-Wronski effect describes,turbine wind shear factor,greenhouse gas warming,geothermal heat exchange,solar cell degradation,hydroelectric heat loss,D
Geothermal reservoirs can reach temperatures of,370°C,560°C,740°C,820°C,"1,060°C",A
"Impoundment, diversion, and run-of-river are all types of",solar cells,wind turbines,hydroelectric power plants,canoes,nuclear power plants,C
Ethanol is used in the United States as a fuel additive to,increase fuel safety,keep the carburetor new,supplement grain production,reduce incomplete combustion emissions,make gasoline last longer,D
Flowing water that creates energy and is turned into electricity is called,nuclear power,hydroelectric power,solar power,thermal energy,chemical energy,B
Turbines catch the wind with two to three propeller-like blades mounted on a shaft to form a,rotor,heat exchanger,reservoir,magnetic field,storage battery,A
What percent of the world's population uses wood or charcoal as a main energy source?,15%,20%,40%,50%,90%,C
"When deep underground heat is transferred by thermal conduction through water to the surface, it is called",solar energy,nuclear energy,wind energy,geothermal energy,cosmic energy,D
Sea surface temperature changes greater than 0.5°C for greater than 5 months across the central tropical Pacific Ocean are known as,an arctic effect,the jet stream,a typhoon,El Niño-Southern Oscillation,ocean bloom,D
Propeller-like turbine blades are used to generate electricity from,sunlight,rain,wind,snow,biomass,C
What alternate source of renewable energy provides nearly 0.5% of total U.S. electricity?,hydroelectricity,coal,biomass,geothermal,wind,D
A Renewable Energy Certificate (REC) describes,energy availability,geothermal electricity requirements,turbine motor speed,"environmental, social, and non-power characteristics of renewable electricity generation",public acceptance of tidal energy,D
Tidal energy taps,stream flow,incoming and outgoing tides,salinity levels,rising geothermal magma,melting icebergs,B
Industrial greenhouse gas emission profiles are products of which nonprofit organization?,International Oil Tanker Owner's Pollution Federation,GHG Registry,Superfund,Occupational Safety and Health Agency,EcoPower,B
Diffusing phosphorus onto boron-coated silicon wafers produces,acetate,hydroelectric conduits,semiconductor connections,radioactive markers,an electricity grid,C
All the following are good sites for wind turbines except,forests,coastal areas,plains,mountain passes,open ocean,A
The problem with ethanol is its ability to,cause soil erosion,pollute drinking water,evaporate into the atmosphere,increase the polluting effects of other compounds,reduce organic compounds,D
What element is released during electrolysis?,Sulfur,Nitrogen,Helium,Radon,Hydrogen,E
What safe fuel offers superior performance and is the fuel of choice for race cars?,Hydrogen,Methanol,Gasohol,Ethanol,Propane,B
The Earth gets more energy from the sun in an hour than,New York City uses in a month,Asia uses in a week,the planet uses in a year,the Pacific Ocean can absorb,photovoltaic cells can tolerate,C
"Using the table below asdf, find the greatest noise level difference between the sound of a wind turbine and a",refrigerator,helicopter,library,washing machine,jackhammer,B
The atmospheric layer largely responsible for absorbing the sun's ultraviolet (UV) radiation is the,thermosphere,cumulus cloud,troposphere,stratonimbus,ozone,C
"Precipitation is considered acidic (e.g., rain, snow, sleet, hail, fog) if it has a pH less than",pH 5.6,pH 6.2,pH 7.0,pH 8.2,pH 9.0,A
The four main polluting contaminant types include all the following except,inorganic,organic,acid-base,drought,radioactive,D
